,Unnamed: 0,winner_wickets,umpire3,team,team2,gender,season,date,competition,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,outcome,eliminator,date2,neutralvenue,id
466,466,,,Rajasthan Royals,Chennai Super Kings,male,2014,2014/04/23,Indian Premier League,10.0,Dubai International Cricket Stadium,,Rajasthan Royals,field,RA Jadeja,HDPK Dharmasena,RK Illingworth,K Srinivasan,C Shamshuddin,GF Labrooy,Chennai Super Kings,,,,,True,466
467,467,,,Royal Challengers Bangalore,Kolkata Knight Riders,male,2014,2014/04/24,Indian Premier League,11.0,Sharjah Cricket Stadium,,Royal Challengers Bangalore,field,CA Lynn,Aleem Dar,VA Kulkarni,K Bharatan,AK Chaudhary,AJ Pycroft,Kolkata Knight Riders,,,,,True,467
468,468,,,Sunrisers Hyderabad,Delhi Daredevils,male,2014,2014/04/25,Indian Premier League,12.0,Dubai International Cricket Stadium,,Sunrisers Hyderabad,bat,AJ Finch,M Erasmus,S Ravi,K Srinivasan,BF Bowden,GF Labrooy,Sunrisers Hyderabad,,,,,True,468
469,469,,,Chennai Super Kings,Mumbai Indians,male,2014,2014/04/25,Indian Premier League,13.0,Dubai International Cricket Stadium,,Mumbai Indians,bat,MM Sharma,BF Bowden,M Erasmus,K Srinivasan,S Ravi,GF Labrooy,Chennai Super Kings,,,,,True,469
470,470,,,Rajasthan Royals,Royal Challengers Bangalore,male,2014,2014/04/26,Indian Premier League,14.0,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals,field,PV Tambe,HDPK Dharmasena,C Shamshuddin,K Srinath,RK Illingworth,AJ Pycroft,Rajasthan Royals,,,,,True,470
471,471,,,Kolkata Knight Riders,Kings XI Punjab,male,2014,2014/04/26,Indian Premier League,15.0,Sheikh Zayed Stadium,Abu Dhabi,Kolkata Knight Riders,field,Sandeep Sharma,HDPK Dharmasena,RK Illingworth,K Srinath,C Shamshuddin,AJ Pycroft,Kings XI Punjab,,,,,True,471
472,472,,,Delhi Daredevils,Mumbai Indians,male,2014,2014/04/27,Indian Premier League,16.0,Sharjah Cricket Stadium,,Mumbai Indians,bat,M Vijay,Aleem Dar,VA Kulkarni,K Bharatan,AK Chaudhary,GF Labrooy,Delhi Daredevils,,,,,True,472
473,473,,,Sunrisers Hyderabad,Chennai Super Kings,male,2014,2014/04/27,Indian Premier League,17.0,Sharjah Cricket Stadium,,Sunrisers Hyderabad,bat,DR Smith,AK Chaudhary,VA Kulkarni,K Bharatan,Aleem Dar,GF Labrooy,Chennai Super Kings,,,,,True,473
474,474,,,Kings XI Punjab,Royal Challengers Bangalore,male,2014,2014/04/28,Indian Premier League,18.0,Dubai International Cricket Stadium,,Kings XI Punjab,field,Sandeep Sharma,BF Bowden,S Ravi,K Srinivasan,M Erasmus,AJ Pycroft,Kings XI Punjab,,,,,True,474
475,475,,,Kolkata Knight Riders,Rajasthan Royals,male,2014,2014/04/29,Indian Premier League,19.0,Sheikh Zayed Stadium,Abu Dhabi,Rajasthan Royals,bat,JP Faulkner,Aleem Dar,AK Chaudhary,K Srinath,VA Kulkarni,GF Labrooy,,,tie,,,True,475
476,476,,,Mumbai Indians,Sunrisers Hyderabad,male,2014,2014/04/30,Indian Premier League,20.0,Dubai International Cricket Stadium,,Mumbai Indians,field,B Kumar,HDPK Dharmasena,M Erasmus,K Srinivasan,S Ravi,AJ Pycroft,Sunrisers Hyderabad,,,,,True,476
477,477,,,Chennai Super Kings,Kolkata Knight Riders,male,2014,2014/05/02,Indian Premier League,21.0,JSCA International Stadium Complex,Ranchi,Chennai Super Kings,bat,RA Jadeja,AK Chaudhary,NJ Llong,AY Dandekar,CK Nandan,J Srinath,Chennai Super Kings,34.0,,,,,477
478,478,5.0,,Mumbai Indians,Kings XI Punjab,male,2014,2014/05/03,Indian Premier League,22.0,Wankhede Stadium,Mumbai,Kings XI Punjab,bat,CJ Anderson,BNJ Oxenford,C Shamshuddin,R Pandit,RM Deshpande,RS Madugalle,Mumbai Indians,,,,,,478
479,479,7.0,,Delhi Daredevils,Rajasthan Royals,male,2014,2014/05/03,Indian Premier League,23.0,Feroz Shah Kotla,Delhi,Rajasthan Royals,field,KK Nair,SS Hazare,S Ravi,Navdeep Singh,K Srinath,AJ Pycroft,Rajasthan Royals,,,,,,479
480,480,4.0,,Royal Challengers Bangalore,Sunrisers Hyderabad,male,2014,2014/05/04,Indian Premier League,24.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,AB de Villiers,HDPK Dharmasena,VA Kulkarni,J Madanagopal,PG Pathak,RS Mahanama,Royal Challengers Bangalore,,,,,,480
481,481,,,Rajasthan Royals,Kolkata Knight Riders,male,2014,2014/05/05,Indian Premier League,25.0,"Sardar Patel Stadium, Motera",Ahmedabad,Kolkata Knight Riders,field,PV Tambe,NJ Llong,CK Nandan,Nitin Menon,AK Chaudhary,RS Madugalle,Rajasthan Royals,10.0,,,,,481
482,482,8.0,,Delhi Daredevils,Chennai Super Kings,male,2014,2014/05/05,Indian Premier League,26.0,Feroz Shah Kotla,Delhi,Chennai Super Kings,field,DR Smith,RM Deshpande,BNJ Oxenford,Navdeep Singh,C Shamshuddin,J Srinath,Chennai Super Kings,,,,,,482
483,483,,,Mumbai Indians,Royal Challengers Bangalore,male,2014,2014/05/06,Indian Premier League,27.0,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,field,RG Sharma,S Ravi,K Srinath,R Pandit,SS Hazare,AJ Pycroft,Mumbai Indians,19.0,,,,,483
484,484,8.0,,Delhi Daredevils,Kolkata Knight Riders,male,2014,2014/05/07,Indian Premier League,28.0,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,G Gambhir,BNJ Oxenford,C Shamshuddin,Navdeep Singh,RM Deshpande,J Srinath,Kolkata Knight Riders,,,,,,484
485,485,,,Kings XI Punjab,Chennai Super Kings,male,2014,2014/05/07,Indian Premier League,29.0,Barabati Stadium,Cuttack,Chennai Super Kings,field,GJ Maxwell,HDPK Dharmasena,PG Pathak,UV Gandhe,VA Kulkarni,RS Mahanama,Kings XI Punjab,44.0,,,,,485
486,486,,,Rajasthan Royals,Sunrisers Hyderabad,male,2014,2014/05/08,Indian Premier League,30.0,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,field,B Kumar,AK Chaudhary,NJ Llong,Nitin Menon,CK Nandan,RS Madugalle,Sunrisers Hyderabad,32.0,,,,,486
487,487,,,Royal Challengers Bangalore,Kings XI Punjab,male,2014,2014/05/09,Indian Premier League,31.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Sandeep Sharma,S Ravi,K Srinath,KN Ananthapadmanabhan,K Srinivasan,AJ Pycroft,Kings XI Punjab,32.0,,,,,487
488,488,8.0,,Delhi Daredevils,Sunrisers Hyderabad,male,2014,2014/05/10,Indian Premier League,32.0,Feroz Shah Kotla,Delhi,Sunrisers Hyderabad,field,DW Steyn,RM Deshpande,BNJ Oxenford,Navdeep Singh,C Shamshuddin,J Srinath,Sunrisers Hyderabad,,,,,,488
489,489,4.0,,Mumbai Indians,Chennai Super Kings,male,2014,2014/05/10,Indian Premier League,33.0,Wankhede Stadium,Mumbai,Chennai Super Kings,field,DR Smith,HDPK Dharmasena,VA Kulkarni,R Pandit,PG Pathak,RS Mahanama,Chennai Super Kings,,,,,,489
490,490,9.0,,Kings XI Punjab,Kolkata Knight Riders,male,2014,2014/05/11,Indian Premier League,34.0,Barabati Stadium,Cuttack,Kolkata Knight Riders,field,G Gambhir,NJ Llong,CK Nandan,UV Gandhe,AK Chaudhary,RS Madugalle,Kolkata Knight Riders,,,,,,490
491,491,5.0,,Royal Challengers Bangalore,Rajasthan Royals,male,2014,2014/05/11,Indian Premier League,35.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,bat,JP Faulkner,S Ravi,RJ Tucker,KN Ananthapadmanabhan,K Srinath,AJ Pycroft,Rajasthan Royals,,,,,,491
492,492,7.0,,Sunrisers Hyderabad,Mumbai Indians,male,2014,2014/05/12,Indian Premier League,36.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,AT Rayudu,HDPK Dharmasena,VA Kulkarni,A Nand Kishore,PG Pathak,RS Mahanama,Mumbai Indians,,,,,,492
493,493,5.0,,Chennai Super Kings,Rajasthan Royals,male,2014,2014/05/13,Indian Premier League,37.0,JSCA International Stadium Complex,Ranchi,Rajasthan Royals,bat,RA Jadeja,BNJ Oxenford,C Shamshuddin,AY Dandekar,RM Deshpande,J Srinath,Chennai Super Kings,,,,,,493
494,494,,,Royal Challengers Bangalore,Delhi Daredevils,male,2014,2014/05/13,Indian Premier League,38.0,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,Yuvraj Singh,K Srinath,RJ Tucker,KN Ananthapadmanabhan,S Ravi,AJ Pycroft,Royal Challengers Bangalore,16.0,,,,,494
495,495,6.0,,Sunrisers Hyderabad,Kings XI Punjab,male,2014,2014/05/14,Indian Premier League,39.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,WP Saha,VA Kulkarni,PG Pathak,A Nand Kishore,HDPK Dharmasena,RS Mahanama,Kings XI Punjab,,,,,,495
496,496,6.0,,Kolkata Knight Riders,Mumbai Indians,male,2014,2014/05/14,Indian Premier League,40.0,Barabati Stadium,Cuttack,Kolkata Knight Riders,field,RV Uthappa,AK Chaudhary,NJ Llong,R Pandit,CK Nandan,RS Madugalle,Kolkata Knight Riders,,,,,,496
497,497,,,Rajasthan Royals,Delhi Daredevils,male,2014,2014/05/15,Indian Premier League,41.0,"Sardar Patel Stadium, Motera",Ahmedabad,Delhi Daredevils,field,AM Rahane,S Ravi,RJ Tucker,KN Ananthapadmanabhan,K Srinath,AJ Pycroft,Rajasthan Royals,62.0,,,,,497
498,498,5.0,,Chennai Super Kings,Royal Challengers Bangalore,male,2014,2014/05/18,Indian Premier League,42.0,JSCA International Stadium Complex,Ranchi,Chennai Super Kings,bat,AB de Villiers,BNJ Oxenford,C Shamshuddin,J Madanagopal,RM Deshpande,J Srinath,Royal Challengers Bangalore,,,,,,498
499,499,7.0,,Sunrisers Hyderabad,Kolkata Knight Riders,male,2014,2014/05/18,Indian Premier League,43.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,UT Yadav,NJ Llong,CK Nandan,A Nand Kishore,AK Chaudhary,RS Madugalle,Kolkata Knight Riders,,,,,,499
500,500,,,Rajasthan Royals,Mumbai Indians,male,2014,2014/05/19,Indian Premier League,44.0,"Sardar Patel Stadium, Motera",Ahmedabad,Mumbai Indians,bat,MEK Hussey,S Ravi,RJ Tucker,KN Ananthapadmanabhan,K Srinath,AJ Pycroft,Mumbai Indians,25.0,,,,,500
501,501,4.0,,Delhi Daredevils,Kings XI Punjab,male,2014,2014/05/19,Indian Premier League,45.0,Feroz Shah Kotla,Delhi,Kings XI Punjab,field,AR Patel,HDPK Dharmasena,PG Pathak,Navdeep Singh,VA Kulkarni,RS Mahanama,Kings XI Punjab,,,,,,501
502,502,7.0,,Sunrisers Hyderabad,Royal Challengers Bangalore,male,2014,2014/05/20,Indian Premier League,46.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,bat,DA Warner,AK Chaudhary,NJ Llong,A Nand Kishore,CK Nandan,RS Madugalle,Sunrisers Hyderabad,,,,,,502
503,503,8.0,,Kolkata Knight Riders,Chennai Super Kings,male,2014,2014/05/20,Indian Premier League,47.0,Eden Gardens,Kolkata,Kolkata Knight Riders,field,RV Uthappa,RM Deshpande,C Shamshuddin,Nitin Menon,BNJ Oxenford,J Srinath,Kolkata Knight Riders,,,,,,503
504,504,7.0,,Kings XI Punjab,Mumbai Indians,male,2014,2014/05/21,Indian Premier League,48.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,LMP Simmons,HDPK Dharmasena,VA Kulkarni,UV Gandhe,PG Pathak,RS Mahanama,Mumbai Indians,,,,,,504
505,505,,,Kolkata Knight Riders,Royal Challengers Bangalore,male,2014,2014/05/22,Indian Premier League,49.0,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,RV Uthappa,AK Chaudhary,CK Nandan,Nitin Menon,NJ Llong,RS Madugalle,Kolkata Knight Riders,30.0,,,,,505
506,506,6.0,,Chennai Super Kings,Sunrisers Hyderabad,male,2014,2014/05/22,Indian Premier League,50.0,JSCA International Stadium Complex,Ranchi,Sunrisers Hyderabad,field,DA Warner,BNJ Oxenford,C Shamshuddin,J Madanagopal,RM Deshpande,J Srinath,Sunrisers Hyderabad,,,,,,506
507,507,,,Mumbai Indians,Delhi Daredevils,male,2014,2014/05/23,Indian Premier League,51.0,Wankhede Stadium,Mumbai,Delhi Daredevils,field,MEK Hussey,S Ravi,RJ Tucker,AY Dandekar,K Srinath,AJ Pycroft,Mumbai Indians,15.0,,,,,507
508,508,,,Kings XI Punjab,Rajasthan Royals,male,2014,2014/05/23,Indian Premier League,52.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,SE Marsh,HDPK Dharmasena,PG Pathak,UV Gandhe,VA Kulkarni,RS Mahanama,Kings XI Punjab,16.0,,,,,508
509,509,8.0,,Royal Challengers Bangalore,Chennai Super Kings,male,2014,2014/05/24,Indian Premier League,53.0,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,field,MS Dhoni,AK Chaudhary,NJ Llong,A Nand Kishore,CK Nandan,RS Madugalle,Chennai Super Kings,,,,,,509
510,510,4.0,,Kolkata Knight Riders,Sunrisers Hyderabad,male,2014,2014/05/24,Indian Premier League,54.0,Eden Gardens,Kolkata,Kolkata Knight Riders,field,YK Pathan,RM Deshpande,BNJ Oxenford,Nitin Menon,C Shamshuddin,J Srinath,Kolkata Knight Riders,,,,,,510
511,511,7.0,,Kings XI Punjab,Delhi Daredevils,male,2014,2014/05/25,Indian Premier League,55.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,M Vohra,HDPK Dharmasena,VA Kulkarni,UV Gandhe,PG Pathak,RS Mahanama,Kings XI Punjab,,,,,,511
512,512,5.0,,Mumbai Indians,Rajasthan Royals,male,2014,2014/05/25,Indian Premier League,56.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,CJ Anderson,K Srinath,RJ Tucker,R Pandit,S Ravi,AJ Pycroft,Mumbai Indians,,,,,,512
513,513,,,Kings XI Punjab,Kolkata Knight Riders,male,2014,2014/05/27,,,,,,,,,,,,,,,,,2014/05/28,,513
514,514,7.0,,Chennai Super Kings,Mumbai Indians,male,2014,2014/05/28,Indian Premier League,,Brabourne Stadium,Mumbai,Chennai Super Kings,field,SK Raina,VA Kulkarni,BNJ Oxenford,RM Deshpande,RJ Tucker,AJ Pycroft,Chennai Super Kings,,,,,,514
515,515,,,Chennai Super Kings,Kings XI Punjab,male,2014,2014/05/30,Indian Premier League,,Wankhede Stadium,Mumbai,Chennai Super Kings,field,V Sehwag,HDPK Dharmasena,RJ Tucker,RM Deshpande,AK Chaudhary,J Srinath,Kings XI Punjab,24.0,,,,,515
516,516,3.0,,Kolkata Knight Riders,Kings XI Punjab,male,2014,2014/06/01,Indian Premier League,,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,field,MK Pandey,HDPK Dharmasena,BNJ Oxenford,CK Nandan,S Ravi,RS Mahanama,Kolkata Knight Riders,,,,,,516
517,517,7.0,,Kolkata Knight Riders,Mumbai Indians,male,2015,2015/04/08,Indian Premier League,1.0,Eden Gardens,Kolkata,Kolkata Knight Riders,field,M Morkel,S Ravi,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Kolkata Knight Riders,,,,,,517
518,518,,,Chennai Super Kings,Delhi Daredevils,male,2015,2015/04/09,Indian Premier League,2.0,"MA Chidambaram Stadium, Chepauk",Chennai,Delhi Daredevils,field,A Nehra,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Chennai Super Kings,1.0,,,,,518
519,519,,,Kings XI Punjab,Rajasthan Royals,male,2015,2015/04/10,Indian Premier League,3.0,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,field,JP Faulkner,SD Fry,CB Gaffaney,CK Nandan,K Srinath,GF Labrooy,Rajasthan Royals,26.0,,,,,519
520,520,,,Chennai Super Kings,Sunrisers Hyderabad,male,2015,2015/04/11,Indian Premier League,4.0,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,BB McCullum,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Chennai Super Kings,45.0,,,,,520
521,521,3.0,,Kolkata Knight Riders,Royal Challengers Bangalore,male,2015,2015/04/11,Indian Premier League,5.0,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,CH Gayle,S Ravi,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Royal Challengers Bangalore,,,,,,521
522,522,3.0,,Delhi Daredevils,Rajasthan Royals,male,2015,2015/04/12,Indian Premier League,6.0,Feroz Shah Kotla,Delhi,Rajasthan Royals,field,DJ Hooda,SD Fry,CB Gaffaney,Nitin Menon,CK Nandan,GF Labrooy,Rajasthan Royals,,,,,,522
523,523,,,Mumbai Indians,Kings XI Punjab,male,2015,2015/04/12,Indian Premier League,7.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,GJ Bailey,AK Chaudhary,K Srinivasan,A Nand Kishore,K Srinath,Chinmay Sharma,Kings XI Punjab,18.0,,,,,523
524,524,8.0,,Royal Challengers Bangalore,Sunrisers Hyderabad,male,2015,2015/04/13,Indian Premier League,8.0,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,DA Warner,RM Deshpande,RK Illingworth,K Bharatan,VA Kulkarni,M Nayyar,Sunrisers Hyderabad,,,,,,524
525,525,7.0,,Rajasthan Royals,Mumbai Indians,male,2015,2015/04/14,Indian Premier League,9.0,"Sardar Patel Stadium, Motera",Ahmedabad,Mumbai Indians,bat,SPD Smith,AK Chaudhary,SD Fry,A Nand Kishore,K Srinivasan,Chinmay Sharma,Rajasthan Royals,,,,,,525
526,526,7.0,,Kolkata Knight Riders,Chennai Super Kings,male,2015,2015/04/30,Indian Premier League,30.0,Eden Gardens,Kolkata,Kolkata Knight Riders,field,AD Russell,AK Chaudhary,M Erasmus,A Nand Kishore,RM Deshpande,RR Jadeja,Kolkata Knight Riders,,,,,,526
527,527,5.0,,Kings XI Punjab,Delhi Daredevils,male,2015,2015/04/15,Indian Premier League,10.0,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,bat,MA Agarwal,CB Gaffaney,K Srinath,Nitin Menon,CK Nandan,GF Labrooy,Delhi Daredevils,,,,,,527
528,528,6.0,,Sunrisers Hyderabad,Rajasthan Royals,male,2015,2015/04/16,Indian Premier League,11.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Rajasthan Royals,field,AM Rahane,PG Pathak,S Ravi,VK Sharma,C Shamshuddin,M Nayyar,Rajasthan Royals,,,,,,528
529,529,6.0,,Mumbai Indians,Chennai Super Kings,male,2015,2015/04/17,Indian Premier League,12.0,Wankhede Stadium,Mumbai,Mumbai Indians,bat,A Nehra,AK Chaudhary,M Erasmus,K Srinivasan,K Srinath,Chinmay Sharma,Chennai Super Kings,,,,,,529
530,530,,,Sunrisers Hyderabad,Delhi Daredevils,male,2015,2015/04/18,Indian Premier League,13.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Daredevils,bat,JP Duminy,PG Pathak,S Ravi,VK Sharma,C Shamshuddin,M Nayyar,Delhi Daredevils,4.0,,,,,530
531,531,4.0,,Kings XI Punjab,Kolkata Knight Riders,male,2015,2015/04/18,Indian Premier League,14.0,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,field,AD Russell,SD Fry,CK Nandan,Nitin Menon,CB Gaffaney,GF Labrooy,Kolkata Knight Riders,,,,,,531
532,532,8.0,,Rajasthan Royals,Chennai Super Kings,male,2015,2015/04/19,Indian Premier League,15.0,"Sardar Patel Stadium, Motera",Ahmedabad,Chennai Super Kings,bat,AM Rahane,AK Chaudhary,M Erasmus,K Srinivasan,K Srinath,Chinmay Sharma,Rajasthan Royals,,,,,,532
533,533,,,Royal Challengers Bangalore,Mumbai Indians,male,2015,2015/04/19,Indian Premier League,16.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Harbhajan Singh,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,J Srinath,Mumbai Indians,18.0,,,,,533
534,534,6.0,,Delhi Daredevils,Kolkata Knight Riders,male,2015,2015/04/20,Indian Premier League,17.0,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,field,UT Yadav,SD Fry,CB Gaffaney,Nitin Menon,CK Nandan,GF Labrooy,Kolkata Knight Riders,,,,,,534
535,535,,,Rajasthan Royals,Kings XI Punjab,male,2015,2015/04/21,Indian Premier League,18.0,"Sardar Patel Stadium, Motera",Ahmedabad,Kings XI Punjab,field,SE Marsh,M Erasmus,S Ravi,K Srinath,AK Chaudhary,Chinmay Sharma,,,tie,Kings XI Punjab,,,535
536,536,,,Sunrisers Hyderabad,Kolkata Knight Riders,male,2015,2015/04/22,Indian Premier League,19.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Kolkata Knight Riders,field,DA Warner,RK Illingworth,VA Kulkarni,K Bharatan,RM Deshpande,M Nayyar,Sunrisers Hyderabad,16.0,,,,,536
537,537,,,Royal Challengers Bangalore,Chennai Super Kings,male,2015,2015/04/22,Indian Premier League,20.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,SK Raina,JD Cloete,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Chennai Super Kings,27.0,,,,,537
538,538,,,Delhi Daredevils,Mumbai Indians,male,2015,2015/04/23,Indian Premier League,21.0,Feroz Shah Kotla,Delhi,Mumbai Indians,field,SS Iyer,SD Fry,CK Nandan,Nitin Menon,CB Gaffaney,GF Labrooy,Delhi Daredevils,37.0,,,,,538
539,539,9.0,,Rajasthan Royals,Royal Challengers Bangalore,male,2015,2015/04/24,Indian Premier League,22.0,"Sardar Patel Stadium, Motera",Ahmedabad,Royal Challengers Bangalore,field,MA Starc,M Erasmus,S Ravi,K Srinath,AK Chaudhary,Chinmay Sharma,Royal Challengers Bangalore,,,,,,539
540,540,,,Mumbai Indians,Sunrisers Hyderabad,male,2015,2015/04/25,Indian Premier League,23.0,Wankhede Stadium,Mumbai,Mumbai Indians,bat,SL Malinga,HDPK Dharmasena,CB Gaffaney,CK Nandan,SD Fry,RS Mahanama,Mumbai Indians,20.0,,,,,540
541,541,,,Chennai Super Kings,Kings XI Punjab,male,2015,2015/04/25,Indian Premier League,24.0,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,BB McCullum,JD Cloete,C Shamshuddin,VK Sharma,PG Pathak,J Srinath,Chennai Super Kings,97.0,,,,,541
542,542,10.0,,Delhi Daredevils,Royal Challengers Bangalore,male,2015,2015/04/26,Indian Premier League,26.0,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,VR Aaron,M Erasmus,S Ravi,K Srinath,AK Chaudhary,GF Labrooy,Royal Challengers Bangalore,,,,,,542
543,543,,,Kings XI Punjab,Sunrisers Hyderabad,male,2015,2015/04/27,Indian Premier League,27.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,TA Boult,HDPK Dharmasena,CB Gaffaney,CK Nandan,SD Fry,RS Mahanama,Sunrisers Hyderabad,20.0,,,,,543
544,544,,,Kolkata Knight Riders,Delhi Daredevils,male,2015,2015/05/07,Indian Premier League,42.0,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,PP Chawla,AK Chaudhary,M Erasmus,A Nand Kishore,K Srinivasan,RS Mahanama,Kolkata Knight Riders,13.0,,,,,544
545,545,,,Royal Challengers Bangalore,Rajasthan Royals,male,2015,2015/04/29,Indian Premier League,29.0,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,,JD Cloete,PG Pathak,VK Sharma,C Shamshuddin,RS Madugalle,,,no result,,,,545
546,546,,,Chennai Super Kings,Kolkata Knight Riders,male,2015,2015/04/28,Indian Premier League,28.0,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,field,DJ Bravo,RM Deshpande,VA Kulkarni,K Bharatan,RK Illingworth,J Srinath,Chennai Super Kings,2.0,,,,,546
547,547,9.0,,Delhi Daredevils,Kings XI Punjab,male,2015,2015/05/01,Indian Premier League,31.0,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,NM Coulter-Nile,RK Illingworth,S Ravi,K Bharatan,VA Kulkarni,RS Madugalle,Delhi Daredevils,,,,,,547
548,548,,,Mumbai Indians,Rajasthan Royals,male,2015,2015/05/01,Indian Premier League,32.0,Wankhede Stadium,Mumbai,Rajasthan Royals,field,AT Rayudu,HDPK Dharmasena,CK Nandan,Nitin Menon,CB Gaffaney,RS Mahanama,Mumbai Indians,8.0,,,,,548
549,549,7.0,,Royal Challengers Bangalore,Kolkata Knight Riders,male,2015,2015/05/02,Indian Premier League,33.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Mandeep Singh,JD Cloete,PG Pathak,VK Sharma,C Shamshuddin,J Srinath,Royal Challengers Bangalore,,,,,,549
550,550,,,Sunrisers Hyderabad,Chennai Super Kings,male,2015,2015/05/02,Indian Premier League,34.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Chennai Super Kings,field,DA Warner,AK Chaudhary,K Srinivasan,A Nand Kishore,M Erasmus,RR Jadeja,Sunrisers Hyderabad,22.0,,,,,550
551,551,,,Kings XI Punjab,Mumbai Indians,male,2015,2015/05/03,Indian Premier League,35.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,bat,LMP Simmons,RK Illingworth,VA Kulkarni,RM Deshpande,S Ravi,RS Madugalle,Mumbai Indians,23.0,,,,,551
552,552,,,Rajasthan Royals,Delhi Daredevils,male,2015,2015/05/03,Indian Premier League,36.0,Brabourne Stadium,Mumbai,Delhi Daredevils,field,AM Rahane,HDPK Dharmasena,CB Gaffaney,,CK Nandan,RS Mahanama,Rajasthan Royals,14.0,,,,,552
553,553,,,Chennai Super Kings,Royal Challengers Bangalore,male,2015,2015/05/04,Indian Premier League,37.0,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,SK Raina,C Shamshuddin,K Srinath,PG Pathak,JD Cloete,J Srinath,Chennai Super Kings,24.0,,,,,553
554,554,,,Kolkata Knight Riders,Sunrisers Hyderabad,male,2015,2015/05/04,Indian Premier League,38.0,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,UT Yadav,AK Chaudhary,M Erasmus,A Nand Kishore,K Srinivasan,RR Jadeja,Kolkata Knight Riders,35.0,,,,,554
555,555,5.0,,Mumbai Indians,Delhi Daredevils,male,2015,2015/05/05,Indian Premier League,39.0,Wankhede Stadium,Mumbai,Delhi Daredevils,bat,Harbhajan Singh,HDPK Dharmasena,CB Gaffaney,Nitin Menon,CK Nandan,RS Mahanama,Mumbai Indians,,,,,,555
556,556,,,Royal Challengers Bangalore,Kings XI Punjab,male,2015,2015/05/06,Indian Premier League,40.0,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,CH Gayle,RK Illingworth,VA Kulkarni,RM Deshpande,S Ravi,RS Madugalle,Royal Challengers Bangalore,138.0,,,,,556
